City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-02-03 02:25:00,19.7297,-155.09,77.25,78,100,11.5
1,Ushuaia,AR,2022-02-03 02:20:33,-54.8,-68.3,42.46,61,75,20.71
2,Rikitea,PF,2022-02-03 02:21:43,-23.1203,-134.9692,78.55,74,89,8.79
3,Lingao,CN,2022-02-03 02:25:01,19.9103,109.6859,58.03,87,100,9.51
4,East London,ZA,2022-02-03 02:25:01,-33.0153,27.9116,73.96,93,99,7.87
5,Mataura,NZ,2022-02-03 02:25:02,-46.1927,168.8643,58.48,83,100,4.52
6,Ishim,RU,2022-02-03 02:25:02,56.1128,69.4902,9.73,97,79,7.7
7,Filingue,NE,2022-02-03 02:25:02,14.3521,3.3168,64.18,14,0,9.91
8,Jamestown,US,2022-02-03 02:25:03,42.097,-79.2353,38.52,60,100,4.0
9,Kapaa,US,2022-02-03 02:25:03,22.0752,-159.319,79.12,68,0,1.01
10,Lorengau,PG,2022-02-03 02:20:32,-2.0226,147.2712,78.22,84,100,7.58
11,Khatanga,RU,2022-02-03 02:24:14,71.9667,102.5,-35.68,99,35,2.19
12,Srednekolymsk,RU,2022-02-03 02:25:04,67.45,153.6833,-22.5,98,100,2.04
13,Hasaki,JP,2022-02-03 02:20:45,35.7333,140.8333,50.29,40,100,8.88
14,Pevek,RU,2022-02-03 02:25:04,69.7008,170.3133,-6.36,73,2,3.91
15,Nikolskoye,RU,2022-02-03 02:25:04,59.7035,30.7861,17.49,100,94,1.63
16,Hobart,AU,2022-02-03 02:25:05,-42.8794,147.3294,63.05,76,75,4.0
17,Khudumelapye,BW,2022-02-03 02:25:05,-23.8833,24.75,73.87,67,90,5.66
18,Awbari,LY,2022-02-03 02:25:06,26.5921,12.7805,42.46,49,0,8.77
19,Norman Wells,CA,2022-02-03 02:25:06,65.282,-126.8329,-27.36,68,75,2.3
20,Kasongo-Lunda,CD,2022-02-03 02:25:06,-6.4667,16.8167,69.3,98,100,0.74
21,Castro,BR,2022-02-03 02:25:07,-24.7911,-50.0119,63.0,98,2,6.06
22,Hithadhoo,MV,2022-02-03 02:25:07,-0.6,73.0833,81.36,70,8,3.27
23,Coihaique,CL,2022-02-03 02:25:07,-45.5752,-72.0662,58.95,77,100,6.91
24,Coari,BR,2022-02-03 02:25:08,-4.085,-63.1414,74.12,98,100,2.44
25,Cabo San Lucas,MX,2022-02-03 02:21:13,22.8909,-109.9124,71.51,69,100,1.99
26,Wawa,NG,2022-02-03 02:25:08,9.9022,4.4192,71.91,20,28,7.43
27,Hovd,MN,2022-02-03 02:24:36,48.0056,91.6419,-5.73,96,89,1.77
28,Molteno,ZA,2022-02-03 02:25:09,-31.3968,26.3625,62.96,91,51,7.34
29,Punta Arenas,CL,2022-02-03 02:25:09,-53.15,-70.9167,46.51,76,75,5.75
30,Dickson,US,2022-02-03 02:25:09,36.077,-87.3878,53.94,82,100,1.99
31,Lompoc,US,2022-02-03 02:25:10,34.6391,-120.4579,57.51,52,0,12.66
32,Lebu,CL,2022-02-03 02:25:10,-37.6167,-73.65,59.9,89,83,10.45
33,Kodiak,US,2022-02-03 02:25:10,57.79,-152.4072,38.71,87,100,13.8
34,Kathmandu,NP,2022-02-03 02:25:11,27.7167,85.3167,41.22,100,20,3.44
35,Vaini,TO,2022-02-03 02:25:11,-21.2,-175.2,86.16,74,20,8.05
36,Tasiilaq,GL,2022-02-03 02:25:11,65.6145,-37.6368,10.56,79,97,6.42
37,Kaitangata,NZ,2022-02-03 02:20:40,-46.2817,169.8464,53.71,96,100,3.58
38,Namatanai,PG,2022-02-03 02:25:12,-3.6667,152.4333,78.89,84,100,8.21
39,Busselton,AU,2022-02-03 02:25:12,-33.65,115.3333,81.05,35,76,13.24
40,Swan Hill,AU,2022-02-03 02:25:12,-35.3378,143.5544,73.96,28,0,15.12
41,Hermanus,ZA,2022-02-03 02:25:13,-34.4187,19.2345,65.89,84,0,10.74
42,Cape Town,ZA,2022-02-03 02:25:13,-33.9258,18.4232,66.61,87,40,3.0
43,Anchorage,US,2022-02-03 02:25:13,61.2181,-149.9003,20.32,83,0,3.0
44,Salalah,OM,2022-02-03 02:25:14,17.0151,54.0924,75.29,23,0,6.91
45,Arraial Do Cabo,BR,2022-02-03 02:23:54,-22.9661,-42.0278,75.4,88,100,4.12
46,Thompson,CA,2022-02-03 02:25:14,55.7435,-97.8558,-14.64,76,20,13.8
47,Bambous Virieux,MU,2022-02-03 02:26:15,-20.3428,57.7575,79.21,94,75,25.32
48,Tibati,CM,2022-02-03 02:26:15,6.4667,12.6333,64.85,27,94,2.53
49,Zheshart,RU,2022-02-03 02:26:15,62.0731,49.5733,21.02,95,100,6.44
50,Salinopolis,BR,2022-02-03 02:26:16,-0.6136,-47.3561,78.64,86,99,10.83
51,Broken Hill,AU,2022-02-03 02:26:16,-31.95,141.4333,69.51,35,0,23.02
52,Butaritari,KI,2022-02-03 02:26:17,3.0707,172.7902,81.7,78,100,15.68
53,Bluff,NZ,2022-02-03 02:26:17,-46.6,168.3333,58.8,63,100,16.87
54,Hami,CN,2022-02-03 02:26:17,42.8,93.45,22.19,37,93,0.76
55,Lixourion,GR,2022-02-03 02:26:18,38.2019,20.4314,49.5,52,0,22.15
56,Mopipi,BW,2022-02-03 02:26:18,-21.1833,24.8833,75.97,71,33,5.53
57,Belyy Yar,RU,2022-02-03 02:26:18,53.6039,91.3903,-19.14,91,40,2.24
58,Guaruja,BR,2022-02-03 02:26:18,-23.9931,-46.2564,78.4,26,100,1.01
59,Sao Joao Da Barra,BR,2022-02-03 02:26:19,-21.6403,-41.0511,74.21,92,100,7.63
60,Lavrentiya,RU,2022-02-03 02:26:19,65.5833,-171.0,1.36,64,1,21.3
61,Luderitz,NA,2022-02-03 02:26:19,-26.6481,15.1594,67.53,79,66,4.23
62,Ballina,AU,2022-02-03 02:26:20,-28.8667,153.5667,73.44,100,75,9.22
63,Eldorado,BR,2022-02-03 02:26:20,-23.7869,-54.2836,76.21,80,10,9.95
64,Merauke,ID,2022-02-03 02:26:20,-8.4667,140.3333,84.2,63,100,9.89
65,Albany,US,2022-02-03 02:23:14,42.6001,-73.9662,41.81,82,100,4.07
66,Lhokseumawe,ID,2022-02-03 02:26:21,5.1801,97.1507,79.75,80,6,2.46
67,Parabel,RU,2022-02-03 02:26:21,58.6978,81.4825,13.37,91,100,9.57
68,Port Elizabeth,ZA,2022-02-03 02:21:58,-33.918,25.5701,71.1,88,75,14.97
69,Innisfail,AU,2022-02-03 02:26:22,-17.5333,146.0333,93.22,59,100,0.74
70,Sao Felix Do Xingu,BR,2022-02-03 02:26:22,-6.6447,-51.995,71.26,97,48,1.39
71,Makakilo City,US,2022-02-03 02:26:22,21.3469,-158.0858,79.12,59,20,9.22
72,Khandbari,NP,2022-02-03 02:26:22,27.3747,87.2039,50.13,66,49,1.05
73,Avarua,CK,2022-02-03 02:26:23,-21.2078,-159.775,84.25,74,75,17.27
74,Qaanaaq,GL,2022-02-03 02:26:23,77.484,-69.3632,-10.62,82,100,6.8
75,Haines Junction,CA,2022-02-03 02:26:23,60.7522,-137.5108,-11.25,77,100,2.3
76,Saskylakh,RU,2022-02-03 02:26:24,71.9167,114.0833,-31.94,100,17,2.89
77,Chibombo,ZM,2022-02-03 02:26:24,-14.6569,28.0706,63.82,98,100,3.65
78,Woodlyn,US,2022-02-03 02:26:25,39.8723,-75.3371,41.32,89,100,2.73
79,Biak,ID,2022-02-03 02:26:25,-0.9131,122.8766,83.16,62,100,1.3
80,Trabzon,TR,2022-02-03 02:26:25,40.9167,39.8333,59.09,25,0,16.11
81,Kununurra,AU,2022-02-03 02:26:26,-15.7667,128.7333,85.98,66,40,6.91
82,New Norfolk,AU,2022-02-03 02:26:26,-42.7826,147.0587,63.91,78,96,5.21
83,Kyaukse,MM,2022-02-03 02:26:26,21.6,96.1333,55.4,88,20,0.0
84,Richards Bay,ZA,2022-02-03 02:26:27,-28.783,32.0377,75.9,84,2,15.28
85,Ilulissat,GL,2022-02-03 02:26:27,69.2167,-51.1,1.42,46,20,28.77
86,Vetluga,RU,2022-02-03 02:26:27,57.8557,45.781,3.94,100,99,4.25
87,Bocanda,CI,2022-02-03 02:26:28,7.0626,-4.4995,69.12,18,34,2.15
88,Sooke,CA,2022-02-03 02:26:28,48.3746,-123.7276,42.37,95,100,13.8
89,La Palma Del Condado,ES,2022-02-03 02:26:28,37.3861,-6.5523,51.22,58,83,3.69
90,Bethel,US,2022-02-03 02:26:29,41.3712,-73.414,39.33,89,100,0.0
91,Gold Coast,AU,2022-02-03 02:25:01,-28.0,153.4333,83.19,85,100,4.0
92,Sinnamary,GF,2022-02-03 02:27:29,5.3833,-52.95,77.9,82,100,10.71
93,Tuatapere,NZ,2022-02-03 02:27:30,-46.1333,167.6833,58.82,66,100,9.37
94,Indianola,US,2022-02-03 02:27:30,41.3581,-93.5574,7.29,72,100,15.03
95,Karratha,AU,2022-02-03 02:27:30,-20.7377,116.8463,88.56,54,46,11.1
96,Isparta,TR,2022-02-03 02:27:31,38.0,31.0,34.56,95,100,10.0
97,Ekibastuz,KZ,2022-02-03 02:27:31,51.6667,75.3667,10.31,90,100,6.35
98,Sault Sainte Marie,CA,2022-02-03 02:24:03,46.5168,-84.3333,16.36,67,100,8.05
99,Tiksi,RU,2022-02-03 02:27:31,71.6872,128.8694,-3.53,93,100,11.05
100,Ixtapa,MX,2022-02-03 02:27:32,20.7,-105.2,70.83,68,0,4.61
101,San Vicente,AR,2022-02-03 02:27:32,-26.6167,-54.1333,72.46,63,4,2.73
102,Sorland,NO,2022-02-03 02:27:32,67.667,12.6934,27.75,58,100,10.31
103,Andenes,NO,2022-02-03 02:27:33,69.3143,16.1194,22.98,63,6,19.57
104,Barrow,US,2022-02-03 02:27:33,71.2906,-156.7887,-20.18,69,75,0.0
105,Gamba,GA,2022-02-03 02:27:33,-2.65,10.0,76.53,86,100,4.52
106,Dunedin,NZ,2022-02-03 02:27:34,-45.8742,170.5036,59.81,90,100,4.0
107,Yulara,AU,2022-02-03 02:27:34,-25.2406,130.9889,73.24,43,100,16.11
108,Alice Springs,AU,2022-02-03 02:27:34,-23.7,133.8833,71.15,60,100,16.11
109,Banda Aceh,ID,2022-02-03 02:25:02,5.5577,95.3222,80.85,78,14,9.82
110,Odessa,UA,2022-02-03 02:27:35,46.4775,30.7326,30.13,100,100,0.0
111,Xining,CN,2022-02-03 02:23:39,36.6167,101.7667,15.37,52,4,2.28
112,Victoria,HK,2022-02-03 02:27:25,22.2855,114.1577,56.32,80,100,1.01
113,Yellowknife,CA,2022-02-03 02:27:35,62.456,-114.3525,-28.71,83,20,5.75
114,Mandaon,PH,2022-02-03 02:27:35,12.2259,123.2842,82.33,74,74,16.51
115,Pecos,US,2022-02-03 02:27:36,31.4229,-103.4932,30.29,86,100,13.8
116,Kazachinskoye,RU,2022-02-03 02:27:36,57.6953,93.2761,-10.43,100,77,2.73
117,Geraldton,AU,2022-02-03 02:27:37,-28.7667,114.6,99.01,12,0,28.77
118,Puerto Ayora,EC,2022-02-03 02:27:37,-0.7393,-90.3518,74.55,93,0,1.99
119,Vestmannaeyjar,IS,2022-02-03 02:27:37,63.4427,-20.2734,30.02,78,99,13.24
120,Ashland,US,2022-02-03 02:23:16,40.8167,-82.2665,39.27,97,100,5.95
121,Mahebourg,MU,2022-02-03 02:27:38,-20.4081,57.7,79.25,94,75,25.32
122,Pangnirtung,CA,2022-02-03 02:27:38,66.1451,-65.7125,5.81,85,100,7.7
123,Prado,BR,2022-02-03 02:27:38,-17.3411,-39.2208,77.22,86,38,6.26
124,Waitati,NZ,2022-02-03 02:27:38,-45.75,170.5667,59.81,90,100,5.32
125,Torbay,CA,2022-02-03 02:27:39,47.6666,-52.7314,23.29,92,20,10.36
126,Kavieng,PG,2022-02-03 02:23:32,-2.5744,150.7967,79.5,82,100,14.32
127,Atuona,PF,2022-02-03 02:27:29,-9.8,-139.0333,78.31,78,100,15.88
128,Buraydah,SA,2022-02-03 02:23:36,26.326,43.975,48.65,38,0,9.6
129,Touros,BR,2022-02-03 02:27:39,-5.1989,-35.4608,79.7,77,49,11.45
130,Altay,CN,2022-02-03 02:27:40,47.8667,88.1167,3.72,72,9,6.33
131,Bathsheba,BB,2022-02-03 02:27:40,13.2167,-59.5167,77.61,78,40,19.57
132,San Policarpo,PH,2022-02-03 02:27:40,12.1791,125.5072,80.33,83,99,15.52
133,Lagoa,PT,2022-02-03 02:27:41,39.05,-27.9833,57.67,72,3,3.69
134,Guerrero Negro,MX,2022-02-03 02:27:41,27.9769,-114.0611,61.43,30,0,16.71
135,Clyde River,CA,2022-02-03 02:28:41,70.4692,-68.5914,-16.37,76,100,17.27
136,Brae,GB,2022-02-03 02:28:41,60.3964,-1.353,44.51,95,100,12.26
137,Bourail,NC,2022-02-03 02:28:42,-21.5667,165.4833,87.57,56,1,6.13
138,The Valley,AI,2022-02-03 02:28:42,18.217,-63.0578,78.66,75,2,16.04
139,Nome,US,2022-02-03 02:24:03,64.5011,-165.4064,10.47,57,0,32.21
140,Mount Gambier,AU,2022-02-03 02:28:43,-37.8333,140.7667,64.31,52,100,18.41
141,Gagnoa,CI,2022-02-03 02:28:43,6.1293,-5.9437,69.33,93,29,2.19
142,Ponta Do Sol,PT,2022-02-03 02:28:43,32.6667,-17.1,67.71,79,100,11.27
143,Cherskiy,RU,2022-02-03 02:28:43,68.75,161.3,-15.86,75,68,2.06
144,Santa Maria,BR,2022-02-03 02:25:02,-29.6842,-53.8069,76.3,78,0,10.36
145,Lata,PT,2022-02-03 02:28:44,40.1629,-8.3327,45.05,77,92,1.03
146,Nakhon Thai,TH,2022-02-03 02:28:44,17.1006,100.8374,78.71,62,35,1.72
147,Laje,BR,2022-02-03 02:28:45,-10.1833,-40.9667,71.44,67,47,2.62
148,Faanui,PF,2022-02-03 02:28:45,-16.4833,-151.75,81.37,76,11,18.25
149,Severo-Kurilsk,RU,2022-02-03 02:23:58,50.6789,156.125,30.67,77,100,10.29
150,Turukhansk,RU,2022-02-03 02:28:45,65.8167,87.9833,-11.96,99,54,6.76
151,Monrovia,LR,2022-02-03 02:28:42,6.3005,-10.7969,74.97,84,17,2.42
152,Te Anau,NZ,2022-02-03 02:28:46,-45.4167,167.7167,60.93,79,100,3.87
153,Yar-Sale,RU,2022-02-03 02:28:46,66.8333,70.8333,4.66,96,100,10.92
154,Tocache,PE,2022-02-03 02:28:47,-8.1842,-76.5125,71.49,89,94,0.96
155,Manokwari,ID,2022-02-03 02:28:47,-0.8667,134.0833,80.8,76,84,4.97
156,Port Alfred,ZA,2022-02-03 02:28:47,-33.5906,26.891,73.29,92,85,9.48
157,Horki,BY,2022-02-03 02:28:48,54.2861,30.9842,23.79,97,100,3.96
158,Klaksvik,FO,2022-02-03 02:28:48,62.2266,-6.589,40.12,83,100,8.61
159,San Cristobal,VE,2022-02-03 02:28:48,7.7669,-72.225,73.58,60,8,1.86
160,Brokopondo,SR,2022-02-03 02:28:48,4.75,-55.1667,75.27,88,100,8.39
161,Carnarvon,AU,2022-02-03 02:28:49,-24.8667,113.6333,98.67,26,6,17.27
162,Hambantota,LK,2022-02-03 02:28:49,6.1241,81.1185,73.74,94,20,3.44
163,Burnie,AU,2022-02-03 02:28:49,-41.0667,145.9167,71.92,49,62,10.6
164,Kirovskiy,RU,2022-02-03 02:28:50,45.0917,133.5136,5.61,87,100,7.7
165,Moree,AU,2022-02-03 02:28:50,-29.4667,149.85,75.22,83,75,12.66
166,Dikson,RU,2022-02-03 02:28:50,73.5069,80.5464,-5.93,96,100,13.13
167,Atbasar,KZ,2022-02-03 02:28:51,51.8,68.3333,5.79,92,98,3.04
168,Gewane,ET,2022-02-03 02:28:51,10.1664,40.6453,74.23,53,95,4.41
169,Port Hedland,AU,2022-02-03 02:28:51,-20.3167,118.5667,93.25,27,92,12.66
170,Grindavik,IS,2022-02-03 02:28:52,63.8424,-22.4338,23.47,86,20,6.91
171,Namibe,AO,2022-02-03 02:28:52,-15.1961,12.1522,71.26,73,44,8.03
172,Oskemen,KZ,2022-02-03 02:28:53,49.9565,82.6119,-13.04,76,100,2.24
173,San Quintin,MX,2022-02-03 02:28:53,30.4833,-115.95,58.17,66,0,6.35
174,Katherine,AU,2022-02-03 02:28:53,-14.4667,132.2667,88.12,62,75,10.36
175,Roald,NO,2022-02-03 02:28:54,62.5833,6.1333,34.32,74,100,16.11
176,Rio Grande,BR,2022-02-03 02:28:54,-32.035,-52.0986,75.31,83,0,18.23
177,Vardo,NO,2022-02-03 02:28:54,70.3705,31.1107,29.57,56,100,19.44
178,Saint George,US,2022-02-03 02:28:55,37.1041,-113.5841,38.62,22,0,1.01
179,Vikhorevka,RU,2022-02-03 02:28:55,56.1201,101.1636,-11.61,100,82,1.7
180,Tuktoyaktuk,CA,2022-02-03 02:29:55,69.4541,-133.0374,-20.2,69,75,13.8
181,Kenai,US,2022-02-03 02:28:05,60.5544,-151.2583,22.03,81,40,10.36
182,Longyearbyen,SJ,2022-02-03 02:29:56,78.2186,15.6401,17.44,57,0,20.71
183,Taoudenni,ML,2022-02-03 02:26:29,22.6783,-3.9836,62.19,23,92,11.59
184,Tual,ID,2022-02-03 02:29:56,-5.6667,132.75,82.22,77,95,11.07
185,Opuwo,NA,2022-02-03 02:29:56,-18.0607,13.84,61.68,65,4,2.91
186,Centerville,US,2022-02-03 02:29:45,39.6284,-84.1594,45.41,96,100,1.01
187,Inhambane,MZ,2022-02-03 02:29:57,-23.865,35.3833,75.07,86,28,2.8
188,Chapais,CA,2022-02-03 02:29:57,49.7834,-74.8492,6.58,92,100,7.92
189,West Bay,KY,2022-02-03 02:29:57,19.3667,-81.4167,78.08,85,20,1.99
190,Makokou,GA,2022-02-03 02:29:58,0.5738,12.8642,69.96,95,100,2.59
191,Tilichiki,RU,2022-02-03 02:29:58,60.4667,166.1,5.4,80,86,10.29
192,Souillac,MU,2022-02-03 02:29:58,-20.5167,57.5167,79.36,94,75,25.32
193,Gravdal,NO,2022-02-03 02:29:59,68.1214,13.5031,24.4,65,100,10.13
194,Ialibu,PG,2022-02-03 02:29:59,-6.2821,143.9935,64.2,64,100,2.66
195,Bonfim,BR,2022-02-03 02:29:59,3.0833,-59.95,80.42,60,38,6.76
196,Adrar,MR,2022-02-03 02:30:00,20.5022,-10.0711,65.08,19,0,11.32
197,Balabac,PH,2022-02-03 02:30:00,7.9868,117.0645,81.41,78,87,14.45
198,Torrijos,ES,2022-02-03 02:30:01,39.9819,-4.2835,49.84,66,98,1.79
199,Baykit,RU,2022-02-03 02:30:02,61.67,96.37,7.63,97,100,2.44
200,Cidreira,BR,2022-02-03 02:30:02,-30.1811,-50.2056,75.74,87,5,20.18
201,Sao Filipe,CV,2022-02-03 02:30:03,14.8961,-24.4956,73.54,75,0,11.36
202,Tiznit,MA,2022-02-03 02:30:04,29.5833,-9.5,63.18,29,1,8.63
203,Bengkulu,ID,2022-02-03 02:29:15,-3.8004,102.2655,81.84,71,83,3.0
204,Kaeo,NZ,2022-02-03 02:30:05,-35.1,173.7833,76.32,78,89,11.41
205,Karatuzskoye,RU,2022-02-03 02:30:06,53.6072,92.8667,-5.78,97,68,0.94
206,Esperance,AU,2022-02-03 02:26:03,-33.8667,121.9,75.04,50,5,14.81
207,Majene,ID,2022-02-03 02:30:07,-3.5403,118.9707,84.56,67,100,2.04
208,Itarema,BR,2022-02-03 02:30:08,-2.9248,-39.9167,79.05,80,100,10.29
209,Canmore,CA,2022-02-03 02:25:17,51.0834,-115.3521,12.31,66,100,11.5
210,Chuy,UY,2022-02-03 02:30:09,-33.6971,-53.4616,70.83,88,0,11.56
211,Upernavik,GL,2022-02-03 02:30:09,72.7868,-56.1549,-8.46,65,100,7.0
212,Broome,US,2022-02-03 02:28:09,42.2506,-75.833,40.37,74,100,1.99
213,Faya,SA,2022-02-03 02:26:15,18.3851,42.4509,51.91,70,51,1.86
214,Xinzhou,CN,2022-02-03 02:30:10,38.4092,112.7333,27.32,21,5,2.26
215,Aksu,CN,2022-02-03 02:30:10,41.1231,80.2644,26.6,44,100,3.11
216,Vanimo,PG,2022-02-03 02:30:11,-2.6741,141.3028,82.54,74,79,4.43
217,Port Said,EG,2022-02-03 02:30:11,31.2565,32.2841,59.07,53,0,15.23
218,Timizart,DZ,2022-02-03 02:30:12,36.8,4.2667,49.19,48,0,6.85
219,Aranos,NA,2022-02-03 02:30:12,-24.1333,19.1167,68.36,82,41,7.02
220,Saint-Philippe,RE,2022-02-03 02:30:13,-21.3585,55.7679,78.39,93,100,36.15
221,Pangody,RU,2022-02-03 02:30:13,65.85,74.4859,4.35,96,100,12.95
222,Wewak,PG,2022-02-03 02:30:13,-3.5534,143.6268,80.01,82,98,7.14
223,Airai,TL,2022-02-03 02:29:03,-8.9266,125.4092,69.55,70,99,4.14
224,Pervoye Maya,RU,2022-02-03 02:31:14,56.164,44.7196,15.51,97,100,2.04
225,Mehamn,NO,2022-02-03 02:31:15,71.0357,27.8492,25.56,75,100,11.27
226,Bilma,NE,2022-02-03 02:31:15,18.6853,12.9164,52.75,32,0,13.6
227,Ahipara,NZ,2022-02-03 02:31:15,-35.1667,173.1667,75.38,65,89,14.2
228,Nanortalik,GL,2022-02-03 02:31:16,60.1432,-45.2371,18.12,69,100,10.69
229,Paita,PE,2022-02-03 02:31:16,-5.0892,-81.1144,72.54,75,47,14.41
230,Asyut,EG,2022-02-03 02:31:16,27.181,31.1837,53.67,40,0,7.29
231,Krasnogorsk,RU,2022-02-03 02:31:17,55.8225,37.3181,23.25,86,100,6.71
232,Bredasdorp,ZA,2022-02-03 02:30:38,-34.5322,20.0403,59.29,81,0,6.2
233,Menongue,AO,2022-02-03 02:31:17,-14.6585,17.691,65.3,63,36,4.52
234,Pelagiada,RU,2022-02-03 02:31:18,45.2064,42.0236,38.75,70,0,4.47
235,Provideniya,RU,2022-02-03 02:31:18,64.3833,-173.3,2.41,72,100,21.0
236,Kilindoni,TZ,2022-02-03 02:31:18,-7.9139,39.6668,80.69,78,100,11.1
237,Honiara,SB,2022-02-03 02:29:00,-9.4333,159.95,81.73,84,100,7.27
238,Hornepayne,CA,2022-02-03 02:31:19,49.2138,-84.7705,-9.98,90,27,6.58
239,High Rock,BS,2022-02-03 02:31:19,26.6208,-78.2833,69.82,67,31,16.93
240,Port Blair,IN,2022-02-03 02:31:19,11.6667,92.75,78.84,78,40,4.61
241,Lobito,AO,2022-02-03 02:31:20,-12.3481,13.5456,73.36,78,16,2.77
242,Danjiangkou,CN,2022-02-03 02:31:20,32.5428,111.5086,50.05,43,98,4.23
243,Eirunepe,BR,2022-02-03 02:31:20,-6.6603,-69.8736,73.09,98,100,1.19
244,Cap-Aux-Meules,CA,2022-02-03 02:30:03,47.3821,-61.8597,30.25,86,75,14.97
245,Baglan,AF,2022-02-03 02:31:21,36.1307,68.7083,41.7,91,91,3.02
246,Tete,MZ,2022-02-03 02:31:21,-16.1564,33.5867,72.32,92,89,1.43
247,Cabcab,PH,2022-02-03 02:31:21,13.6268,124.0515,79.54,81,91,11.5
248,La Palma,US,2022-02-03 02:31:22,33.8464,-118.0467,61.68,17,0,5.99
249,Georgetown,MY,2022-02-03 02:28:14,5.4112,100.3354,85.93,83,20,3.44
250,Cabedelo,BR,2022-02-03 02:28:04,-6.9811,-34.8339,81.27,76,63,11.27
251,Ahwa,IN,2022-02-03 02:31:22,20.75,73.6833,66.11,42,8,1.99
252,Zabol,AF,2022-02-03 02:31:23,32.25,67.25,31.28,86,5,7.9
253,Coquimbo,CL,2022-02-03 02:31:20,-29.9533,-71.3436,62.33,88,20,5.75
254,Kabacan,PH,2022-02-03 02:31:23,7.1167,124.8167,78.22,73,100,1.61
255,Ozernovskiy,RU,2022-02-03 02:31:23,51.5,156.5167,28.6,77,100,7.4
256,Aquidauana,BR,2022-02-03 02:31:24,-20.4711,-55.7872,73.2,96,32,4.16
257,Sitka,US,2022-02-03 02:26:57,57.0531,-135.33,37.29,100,100,4.61
258,Vep,HU,2022-02-03 02:31:24,47.2304,16.7225,39.36,69,8,14.07
259,Ostersund,SE,2022-02-03 02:31:25,63.1792,14.6357,3.65,92,75,2.3
260,Cervo,ES,2022-02-03 02:31:25,43.6702,-7.4101,51.73,77,100,4.7
261,Tabas,IR,2022-02-03 02:31:25,33.5959,56.9244,42.55,42,0,0.94
262,Tres Lagoas,BR,2022-02-03 02:31:26,-20.7511,-51.6783,73.53,91,100,5.95
263,Nizhniy Ingash,RU,2022-02-03 02:31:26,56.2,96.53,2.91,95,100,3.02
264,Panacan,PH,2022-02-03 02:31:26,9.2463,118.4082,83.41,71,31,11.21
